Index Region, Index Atom, Atomic number, Line, Line energy (keV), Intensity Generated (photons/e/sr), Intensity Generated Detected (photons), Intensity Emitted (photons/e/sr), Intensity Emitted Detected (photons), Detector efficiency, 
0, 0, 31, Line Ka1, 9.251, 9.28018e-07, 10188.9, 9.24486e-07, 10150.1, 0.999623, 
0, 0, 31, Line Ka2, 9.234, 4.77474e-07, 5242.27, 4.75647e-07, 5222.22, 0.999621, 
0, 0, 31, Line Kb1, 10.263, 2.04414e-07, 2244.53, 2.0383e-07, 2238.11, 0.999723, 
0, 0, 31, Line Kb2, 10.365, 0, 0, 0, 0, 0.999731, 
0, 0, 31, Line La , 1.098, 7.8456e-07, 7727.49, 7.02462e-07, 6918.87, 0.896763, 
0, 0, 31, Line Lb1, 1.122, 2.14521e-07, 2126.32, 1.67565e-07, 1660.9, 0.902454, 
0, 1, 33, Line Ka1, 10.543, 7.67389e-07, 8426.35, 7.61356e-07, 8360.1, 0.999744, 
0, 1, 33, Line Ka2, 10.507, 3.96083e-07, 4349.19, 3.92937e-07, 4314.65, 0.999742, 
0, 1, 33, Line Kb1, 11.725, 1.75341e-07, 1925.47, 1.74314e-07, 1914.19, 0.999812, 
0, 1, 33, Line Kb2, 11.863, 7.48388e-09, 82.183, 7.44007e-09, 81.702, 0.999818, 
0, 1, 33, Line La , 1.282, 7.41665e-07, 7590.96, 5.90514e-07, 6043.93, 0.931868, 
0, 1, 33, Line Lb1, 1.317, 2.61495e-07, 2690.26, 2.06702e-07, 2126.54, 0.936689, 
0, 2, 83, Line Ka1, 77.097, 3.97419e-09, 6.54121, 3.97388e-09, 6.54069, 0.149856, 
0, 2, 83, Line Ka2, 74.805, 2.37616e-09, 4.03169, 2.37596e-09, 4.03135, 0.154481, 
0, 2, 83, Line Kb1, 87.335, 1.39008e-09, 2.04623, 1.39e-09, 2.04611, 0.134023, 
0, 2, 83, Line Kb2, 89.833, 4.13459e-10, 0.595416, 4.13436e-10, 0.595383, 0.131115, 
0, 2, 83, Line La , 10.84, 9.8312e-08, 1079.54, 9.75989e-08, 1071.71, 0.999764, 
0, 2, 83, Line Lb1, 13.021, 5.21054e-08, 572.196, 5.17028e-08, 567.775, 0.999834, 
0, 2, 83, Line Lb2, 12.977, 2.35949e-08, 259.108, 2.3411e-08, 257.089, 0.999835, 
0, 2, 83, Line Lg , 15.244, 9.8312e-09, 107.824, 9.77535e-09, 107.211, 0.998559, 
0, 2, 83, Line Ma , 2.423, 7.24418e-08, 781.15, 6.58525e-08, 710.097, 0.981772, 
